# BUSCO version is: 3.0.1 
# The lineage dataset is: dikarya_odb9 (Creation date: 2016-02-13, number of species: 75, number of BUSCOs: 1312)
# To reproduce this run: python /opt/asn/apps/anaconda_3-4.2.0_cent/bin/run_BUSCO.py -i /scratch/aubsys/DNAData//Fov891A.contigs.fasta -o Fov891A_BUSCO -l /scratch/aubsys/busco/dikarya_odb9/ -m genome -c 10 -sp fusarium_graminearum
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG0926004Z	Complete	tig00000154	1528198	1542972	3331.3	2878
EOG09260075	Complete	tig00000347	2122760	2132420	2858.1	2334
EOG0926009O	Complete	tig00007946	2025933	2035119	1774.2	1802
EOG092600NM	Complete	tig00000523	1276143	1283249	4004.9	2042
EOG092600S9	Complete	tig00007936	3211956	3219940	1491.8	1549
EOG092600SD	Complete	tig00007956	1630351	1640530	1195.4	1190
EOG092600SK	Complete	tig00007956	2166033	2172775	1202.3	1115
EOG092600T4	Complete	tig00000154	812684	819732	3280.7	1831
EOG092600T9	Complete	tig00007936	4996756	5003200	3143.7	1776
EOG092600W1	Complete	tig00007939	4247305	4254172	2653.4	1592
EOG092600X0	Complete	tig00007936	1067402	1075071	1200.6	1071
EOG092600XJ	Complete	tig00007936	4724676	4731251	1491.3	1205
EOG092601KZ	Complete	tig00007939	4403165	4406860	1333.0	832
EOG092601YK	Complete	tig00007953	3005190	3013200	1760.7	1553
EOG0926025H	Complete	tig00007939	1668904	1672354	401.5	579
EOG09260274	Complete	tig00007946	1240989	1245945	696.3	802
EOG09260289	Complete	tig00007953	1509077	1513628	813.5	782
EOG092602BZ	Complete	tig00007946	1679661	1684886	2538.1	1444
EOG092602FH	Complete	tig00007956	3251168	3256301	1328.0	983
EOG092602I6	Complete	tig00000154	1794864	1800726	1957.5	1308
EOG092602MO	Complete	tig00000347	1445579	1452100	692.5	566
EOG092602OP	Complete	tig00007953	2430060	2434688	1085.2	989
EOG092602UY	Complete	tig00007965	1540356	1545907	1667.5	1218
EOG09260375	Complete	tig00007946	2364725	2369310	1268.7	923
EOG092603D0	Complete	tig00007936	5523869	5527637	1203.7	948
EOG092603EH	Complete	tig00007953	2411168	2415964	1333.8	853
EOG092603JK	Complete	tig00007946	2083550	2089882	699.9	886
EOG092603KJ	Complete	tig00007946	2047897	2051366	1087.5	728
EOG092603SM	Complete	tig00007956	2224070	2228882	435.6	536
EOG092603YJ	Complete	tig00000523	1496294	1501750	1179.6	1334
EOG0926047G	Complete	tig00000523	1650948	1656014	1797.9	1125
EOG09260492	Complete	tig00000347	156253	160652	1191.8	1033
EOG0926049A	Complete	tig00007939	2872069	2876618	692.4	788
EOG0926049S	Complete	tig00007939	4209834	4215759	877.1	768
EOG092604A0	Complete	tig00007953	3062299	3067995	643.3	867
EOG092604I8	Complete	tig00007953	3072452	3077995	810.3	798
EOG092604KQ	Complete	tig00007953	456729	461200	774.2	920
EOG092604MJ	Complete	tig00007953	1048076	1053385	902.2	1062
EOG092604ML	Complete	tig00007946	2032525	2041198	616.5	746
EOG092604S1	Complete	tig00007939	4181280	4185444	298.0	372
EOG092604ZZ	Complete	tig00007939	3204332	3208217	689.7	733
EOG0926051U	Complete	tig00000154	1550535	1556058	877.1	1101
EOG092605FC	Complete	tig00007936	2726885	2730959	1034.2	781
EOG092605KN	Complete	tig00007939	4229269	4232581	945.4	719
EOG092605OK	Complete	tig00007965	1985993	1991081	1801.7	1242
EOG092605QM	Complete	tig00000154	2993766	2999632	877.5	967
EOG092605T6	Complete	tig00007939	4155617	4167387	3706.7	2711
EOG092605VL	Complete	tig00007946	1540374	1547729	820.4	790
EOG092605VU	Complete	tig00000154	2877590	2881344	419.2	748
EOG092605ZA	Complete	tig00007956	1785142	1789804	355.4	431
EOG092606AD	Complete	tig00007939	3247492	3248766	183.2	238
EOG092606AJ	Complete	tig00000154	3670664	3674752	1084.0	807
EOG092606CY	Complete	tig00007939	1445298	1449275	1187.7	1104
EOG092606O3	Complete	tig00000154	1408895	1413799	967.9	657
EOG092606UX	Complete	tig00007946	1494790	1499101	988.9	917
EOG092606WZ	Complete	tig00007936	1454207	1458184	988.0	1132
EOG0926071Q	Complete	tig00007956	1553352	1558800	822.5	976
EOG0926073O	Complete	tig00007953	2957457	2962770	1416.9	937
EOG0926074Y	Complete	tig00007939	2867275	2871227	1558.9	1074
EOG09260779	Complete	tig00007939	3343522	3347862	1134.4	1091
EOG0926077L	Complete	tig00007939	3697509	3701836	323.4	572
EOG0926079Q	Complete	tig00007939	1933366	1937158	1284.3	863
EOG092607OQ	Complete	tig00000154	1499503	1503512	889.9	764
EOG092607QZ	Complete	tig00000154	2076383	2079724	1111.4	788
EOG092607ZS	Complete	tig00000154	3053344	3060625	1168.7	838
